WatchID	i64
JavaEnable	i16
Title	str
GoodEvent	i16
EventTime	ts
EventDate	date
CounterID	i32
ClientIP	i32
RegionID	i32
UserID	i64
CounterClass	i16
OS	i16
UserAgent	i16
URL	str
Referer	str
IsRefresh	i16
RefererCategoryID	i16
RefererRegionID	i32
URLCategoryID	i16
URLRegionID	i32
ResolutionWidth	i16
ResolutionHeight	i16
ResolutionDepth	i16
FlashMajor	i16
FlashMinor	i16
FlashMinor2	str
NetMajor	i16
NetMinor	i16
UserAgentMajor	i16
UserAgentMinor	str
CookieEnable	i16
JavascriptEnable	i16
IsMobile	i16
MobilePhone	i16
MobilePhoneModel	str
Params	str
IPNetworkID	i32
TraficSourceID	i16
SearchEngineID	i16
SearchPhrase	str
AdvEngineID	i16
IsArtifical	i16
WindowClientWidth	i16
WindowClientHeight	i16
ClientTimeZone	i16
ClientEventTime	ts
SilverlightVersion1	i16
SilverlightVersion2	i16
SilverlightVersion3	i32
SilverlightVersion4	i16
PageCharset	str
CodeVersion	i32
IsLink	i16
IsDownload	i16
IsNotBounce	i16
FUniqID	i64
OriginalURL	str
HID	i32
IsOldCounter	i16
IsEvent	i16
IsParameter	i16
DontCountHits	i16
WithHash	i16
HitColor	str
LocalEventTime	ts
Age	i16
Sex	i16
Income	i16
Interests	i16
Robotness	i16
RemoteIP	i32
WindowName	i32
OpenerName	i32
HistoryLength	i16
BrowserLanguage	str
BrowserCountry	str
SocialNetwork	str
SocialAction	str
HTTPError	i16
SendTiming	i32
DNSTiming	i32
ConnectTiming	i32
ResponseStartTiming	i32
ResponseEndTiming	i32
FetchTiming	i32
SocialSourceNetworkID	i16
SocialSourcePage	str
ParamPrice	i64
ParamOrderID	str
ParamCurrency	str
ParamCurrencyID	i16
OpenstatServiceName	str
OpenstatCampaignID	str
OpenstatAdID	str
OpenstatSourceID	str
UTMSource	str
UTMMedium	str
UTMCampaign	str
UTMContent	str
UTMTerm	str
FromTag	str
HasGCLID	i16
RefererHash	i64
URLHash	i64
CLID	i32
